日期,收盤價
2020-11-23,13.0
2020-11-24,13.05
2020-11-25,13.6
2020-11-26,13.55
2020-11-27,13.6
2020-11-30,13.25
2020-12-01,13.05
2020-12-02,12.9
2020-12-03,12.75
2020-12-04,12.85
2020-12-07,12.85
2020-12-08,14.05
2020-12-09,14.4
2020-12-10,14.35
2020-12-11,13.7
2020-12-14,15.05
2020-12-15,15.55
2020-12-16,15.85
2020-12-17,15.7
2020-12-18,17.25
2020-12-21,18.95
2020-12-22,18.55
2020-12-23,20.4
2020-12-24,21.0
2020-12-25,23.1
2020-12-28,25.4
2020-12-29,27.9
2020-12-30,27.5
2020-12-31,29.25
2021-01-04,32.15
2021-01-05,32.0
2021-01-06,28.8
2021-01-07,25.95
2021-01-08,27.3
2021-01-11,28.55
2021-01-12,25.7
2021-01-13,24.0
2021-01-14,25.9
2021-01-15,23.35
2021-01-18,23.8
2021-01-19,21.85
2021-01-20,20.2
2021-01-21,20.85
2021-01-22,22.6
2021-01-25,23.0
2021-01-26,21.6
2021-01-27,20.8
2021-01-28,20.7
2021-01-29,19.75
2021-02-01,19.05
2021-02-02,20.95
2021-02-03,21.6
2021-02-04,21.95
2021-02-05,21.5
2021-02-17,23.65
2021-02-18,25.55
2021-02-19,25.6
2021-02-22,28.15
2021-02-23,28.25
2021-02-24,27.9
2021-02-25,28.5
2021-02-26,29.0
2021-03-02,27.1
2021-03-03,27.6
2021-03-04,26.6
2021-03-05,26.05
2021-03-08,26.8
2021-03-09,27.6
2021-03-10,28.0
2021-03-11,28.1
2021-03-12,29.15
2021-03-15,31.3
2021-03-16,30.05
2021-03-17,31.3
2021-03-18,31.9
2021-03-19,32.6
2021-03-22,35.85
2021-03-23,33.5
2021-03-24,33.8
2021-03-25,32.5
2021-03-26,34.0
2021-03-29,35.25
2021-03-30,35.4
2021-03-31,37.7
2021-04-01,40.15
2021-04-06,44.15
2021-04-07,46.35
2021-04-08,46.2
2021-04-09,42.75
2021-04-12,46.1
2021-04-13,44.8
2021-04-14,45.5
2021-04-15,46.7
2021-04-16,50.6
2021-04-19,55.0
2021-04-20,57.0
2021-04-21,62.7
2021-04-22,59.6
2021-04-23,60.4
2021-04-26,66.4
2021-04-27,72.0
2021-04-28,75.0
2021-04-29,79.8
2021-05-03,87.7
2021-05-04,80.0
2021-05-05,87.0
2021-05-06,84.3
2021-05-07,91.5
2021-05-10,100.5
2021-05-11,97.6
2021-05-12,87.9
2021-05-13,79.2
2021-05-14,74.0
2021-05-17,66.6
2021-05-18,73.2
2021-05-19,80.5
2021-05-20,83.5
2021-05-21,91.8
2021-05-24,93.1
2021-05-25,91.0
2021-05-26,98.8
2021-05-27,103.0
2021-05-28,108.0
2021-05-31,102.5
2021-06-01,112.5
2021-06-02,111.0
2021-06-03,112.5
2021-06-04,115.5
2021-06-07,107.0
2021-06-08,114.5
2021-06-09,113.0
2021-06-10,110.5
2021-06-11,116.0
2021-06-15,127.5
2021-06-16,130.0
2021-06-17,140.5
2021-06-18,149.5
2021-06-21,158.5
2021-06-22,154.5
2021-06-23,139.5
2021-06-24,149.0
2021-06-25,151.0
2021-06-28,166.0
2021-06-29,166.0
2021-06-30,182.5
2021-07-01,196.0
2021-07-02,191.0
2021-07-05,197.0
2021-07-06,216.5
2021-07-07,210.0
2021-07-08,216.5
2021-07-09,195.5
2021-07-12,195.5
2021-07-13,176.0
2021-07-14,163.0
2021-07-15,179.0
2021-07-16,188.0
2021-07-19,188.0
2021-07-20,170.5
2021-07-21,153.5
2021-07-22,140.5
2021-07-23,145.5
2021-07-26,136.0
2021-07-27,122.5
2021-07-28,118.0
2021-07-29,129.5
2021-07-30,117.0
2021-08-02,120.0
2021-08-03,126.0
2021-08-04,129.0
2021-08-05,125.5
2021-08-06,131.0
2021-08-09,132.5
2021-08-10,130.0
2021-08-11,125.0
2021-08-12,133.5
2021-08-13,133.0
2021-08-16,126.0
2021-08-17,124.5
2021-08-18,136.5
2021-08-19,126.5
