created_at_tw,total_like_count
2020-11-21,26
2020-11-22,81
2020-11-23,162
2020-11-24,95
2020-11-25,86
2020-11-26,73
2020-11-27,31
2020-11-28,2
2020-11-29,409
2020-11-30,232
2020-12-01,321
2020-12-02,1510
2020-12-03,2263
2020-12-04,553
2020-12-05,165
2020-12-06,354
2020-12-07,903
2020-12-08,2164
2020-12-09,1068
2020-12-10,840
2020-12-11,2717
2020-12-12,460
2020-12-13,597
2020-12-14,1007
2020-12-15,673
2020-12-16,732
2020-12-17,686
2020-12-18,518
2020-12-19,332
2020-12-20,770
2020-12-21,853
2020-12-22,1842
2020-12-23,967
2020-12-24,1470
2020-12-25,652
2020-12-26,155
2020-12-27,1042
2020-12-28,1681
2020-12-29,1397
2020-12-30,1435
2020-12-31,1026
2021-01-01,438
2021-01-02,765
2021-01-03,985
2021-01-04,2129
2021-01-05,2193
2021-01-06,2626
2021-01-07,2475
2021-01-08,1975
2021-01-09,811
2021-01-10,1187
2021-01-11,1448
2021-01-12,2997
2021-01-13,2335
2021-01-14,3612
2021-01-15,1878
2021-01-16,1614
2021-01-17,1871
2021-01-18,1322
2021-01-19,3821
2021-01-20,5041
2021-01-21,2964
2021-01-22,2206
2021-01-23,4390
2021-01-24,2340
2021-01-25,1756
2021-01-26,1798
2021-01-27,1244
2021-01-28,1816
2021-01-29,3169
2021-01-30,1973
2021-01-31,971
2021-02-01,1338
2021-02-02,1827
2021-02-03,997
2021-02-04,12805
2021-02-05,2189
2021-02-06,1200
2021-02-07,1328
2021-02-08,745
2021-02-09,1920
2021-02-10,771
2021-02-11,298
2021-02-12,256
2021-02-13,44
2021-02-14,587
2021-02-15,245
2021-02-16,1259
2021-02-17,1898
2021-02-18,1942
2021-02-19,1695
2021-02-20,893
2021-02-21,1356
2021-02-22,3689
2021-02-23,7427
2021-02-24,1842
2021-02-25,1497
2021-02-26,2411
2021-02-27,3314
2021-02-28,551
2021-03-01,1794
2021-03-02,1905
2021-03-03,857
2021-03-04,2390
2021-03-05,4096
2021-03-06,866
2021-03-07,2383
2021-03-08,1300
2021-03-09,2766
2021-03-10,2324
2021-03-11,2440
2021-03-12,1309
2021-03-13,1008
2021-03-14,730
2021-03-15,1574
2021-03-16,2930
2021-03-17,1914
2021-03-18,2397
2021-03-19,4089
2021-03-20,2483
2021-03-21,2494
2021-03-22,2895
2021-03-23,2554
2021-03-24,4694
2021-03-25,1820
2021-03-26,1050
2021-03-27,716
2021-03-28,1153
2021-03-29,1560
2021-03-30,2178
2021-03-31,2606
2021-04-01,1622
2021-04-02,968
2021-04-03,1242
2021-04-04,3684
2021-04-05,1123
2021-04-06,2115
2021-04-07,2776
2021-04-08,2382
2021-04-09,3904
2021-04-10,2694
2021-04-11,763
2021-04-12,2486
2021-04-13,8054
2021-04-14,3296
2021-04-15,2315
2021-04-16,4181
2021-04-17,1580
2021-04-18,1862
2021-04-19,3512
2021-04-20,3497
2021-04-21,3457
2021-04-22,7272
2021-04-23,5654
2021-04-24,3935
2021-04-25,3709
2021-04-26,3761
2021-04-27,6054
2021-04-28,6743
2021-04-29,4039
2021-04-30,5030
2021-05-01,1743
2021-05-02,2128
2021-05-03,4474
2021-05-04,9877
2021-05-05,3884
2021-05-06,4257
2021-05-07,10111
2021-05-08,4084
2021-05-09,2819
2021-05-10,5113
2021-05-11,5494
2021-05-12,13214
2021-05-13,5934
2021-05-14,9930
2021-05-15,3542
2021-05-16,6657
2021-05-17,5773
2021-05-18,4905
2021-05-19,5502
2021-05-20,4629
2021-05-21,4101
2021-05-22,977
2021-05-23,2373
2021-05-24,2803
2021-05-25,3459
2021-05-26,1761
2021-05-27,4115
2021-05-28,2960
2021-05-29,2160
2021-05-30,4189
2021-05-31,6007
2021-06-01,5556
2021-06-02,4110
2021-06-03,2743
2021-06-04,2518
2021-06-05,1789
2021-06-06,2293
2021-06-07,3863
2021-06-08,3035
2021-06-09,3972
2021-06-10,4356
2021-06-11,3533
2021-06-12,2275
2021-06-13,833
2021-06-14,898
2021-06-15,2913
2021-06-16,4431
2021-06-17,3695
2021-06-18,4828
2021-06-19,2080
2021-06-20,2969
2021-06-21,3792
2021-06-22,2601
2021-06-23,3950
2021-06-24,2457
2021-06-25,2131
2021-06-26,3420
2021-06-27,1519
2021-06-28,2001
2021-06-29,3613
2021-06-30,9046
2021-07-01,4942
2021-07-02,6983
2021-07-03,3771
2021-07-04,4745
2021-07-05,5613
2021-07-06,5012
2021-07-07,6845
2021-07-08,3515
2021-07-09,3885
2021-07-10,3172
2021-07-11,2469
2021-07-12,5055
2021-07-13,5749
2021-07-14,5579
2021-07-15,5883
2021-07-16,5909
2021-07-17,1978
2021-07-18,5196
2021-07-19,5050
2021-07-20,5253
2021-07-21,6457
2021-07-22,7868
2021-07-23,3989
2021-07-24,3586
2021-07-25,2761
2021-07-26,2067
2021-07-27,3699
2021-07-28,7371
2021-07-29,4734
2021-07-30,2498
2021-07-31,1707
2021-08-01,2829
2021-08-02,3591
2021-08-03,3032
2021-08-04,2499
2021-08-05,1331
2021-08-06,2036
2021-08-07,941
2021-08-08,1802
2021-08-09,6491
2021-08-10,2018
2021-08-11,3604
2021-08-12,1969
2021-08-13,2013
2021-08-14,853
2021-08-15,734
2021-08-16,2248
2021-08-17,2124
2021-08-18,2705
2021-08-19,2182
