日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
109/11/02,"34,539,576","14,901,775,161",433.00,435.50,428.00,435.50,+3.50,"35,704"
109/11/03,"31,461,727","13,852,498,196",439.50,443.00,438.00,441.00,+5.50,"21,031"
109/11/04,"37,929,652","16,969,841,989",444.50,451.50,443.00,450.00,+9.00,"30,087"
109/11/05,"36,539,446","16,404,944,484",451.50,451.50,445.50,451.00,+1.00,"24,764"
109/11/06,"32,644,190","14,788,989,058",455.00,455.50,450.00,452.50,+1.50,"20,999"
109/11/09,"43,415,670","19,865,414,906",458.00,460.00,454.00,458.50,+6.00,"27,868"
109/11/10,"36,786,882","16,610,287,996",452.00,454.50,448.50,451.00,-7.50,"31,009"
109/11/11,"40,355,804","18,326,545,251",448.50,457.00,448.50,457.00,+6.00,"23,150"
109/11/12,"57,993,774","26,690,353,577",463.00,463.50,457.50,458.00,+1.00,"28,011"
109/11/13,"31,483,881","14,478,873,331",459.00,462.00,456.50,462.00,+4.00,"21,663"
109/11/16,"83,380,911","39,658,459,663",470.00,484.50,469.00,484.00,+22.00,"67,363"
109/11/17,"75,763,870","37,446,278,783",502.00,506.00,485.50,485.50,+1.50,"68,560"
109/11/18,"56,607,501","27,883,387,314",490.00,497.00,486.50,497.00,+11.50,"38,186"
109/11/19,"47,345,316","23,320,435,165",499.00,499.00,490.00,490.00,-7.00,"40,198"
109/11/20,"35,242,579","17,191,897,556",486.00,490.00,486.00,488.00,-2.00,"30,557"
109/11/23,"43,708,352","21,661,263,304",494.50,498.50,492.00,496.50,+8.50,"26,794"
109/11/24,"38,630,079","19,113,408,398",499.50,500.00,491.50,492.00,-4.50,"34,407"
109/11/25,"47,179,640","23,142,083,458",495.00,495.50,487.00,487.00,-5.00,"40,066"
109/11/26,"31,844,322","15,606,951,086",489.00,493.50,488.00,489.00,+2.00,"19,587"
109/11/27,"35,196,829","17,205,872,680",487.50,492.00,486.50,489.00, 0.00,"21,314"
109/11/30,"149,311,778","72,095,050,187",493.00,493.50,480.50,480.50,-8.50,"49,362"
109/12/01,"38,341,265","18,719,729,411",489.50,490.00,483.50,490.00,+9.50,"24,827"
109/12/02,"60,208,035","29,970,556,095",499.50,500.00,493.50,499.00,+9.00,"35,624"
109/12/03,"36,919,644","18,369,786,608",499.50,499.50,495.00,497.00,-2.00,"25,651"
109/12/04,"54,471,042","27,307,472,890",498.50,505.00,497.50,503.00,+6.00,"35,708"
109/12/07,"45,493,551","23,243,392,840",512.00,515.00,506.00,514.00,+11.00,"34,767"
109/12/08,"41,830,257","21,673,267,551",514.00,525.00,509.00,524.00,+10.00,"35,895"
109/12/09,"46,831,705","24,416,275,048",521.00,524.00,520.00,520.00,-4.00,"31,749"
109/12/10,"43,991,133","22,516,917,355",511.00,515.00,510.00,512.00,-8.00,"49,079"
109/12/11,"51,296,611","26,259,941,709",517.00,517.00,505.00,516.00,+4.00,"50,929"
109/12/14,"30,809,747","15,703,026,732",512.00,513.00,508.00,508.00,-8.00,"33,415"
109/12/15,"43,059,899","21,780,400,998",507.00,510.00,504.00,504.00,-4.00,"43,967"
109/12/16,"53,661,282","27,504,184,031",509.00,515.00,507.00,512.00,+8.00,"30,574"
109/12/17,"39,285,785","20,052,530,030",515.00,515.00,508.00,508.00,X0.00,"34,785"
109/12/18,"40,625,502","20,690,792,789",508.00,512.00,507.00,510.00,+2.00,"20,638"
109/12/21,"35,153,138","18,033,402,498",512.00,517.00,508.00,516.00,+6.00,"21,765"
109/12/22,"25,632,245","13,125,205,685",512.00,516.00,509.00,509.00,-7.00,"25,973"
109/12/23,"18,320,849","9,321,219,765",508.00,511.00,506.00,509.00, 0.00,"16,428"
109/12/24,"15,218,008","7,759,366,699",511.00,512.00,508.00,510.00,+1.00,"12,743"
109/12/25,"12,581,145","6,449,612,552",514.00,515.00,510.00,511.00,+1.00,"14,988"
109/12/28,"19,520,886","10,023,145,125",512.00,515.00,509.00,515.00,+4.00,"16,675"
109/12/29,"20,226,736","10,409,159,045",515.00,517.00,513.00,515.00, 0.00,"17,187"
109/12/30,"46,705,107","24,306,881,615",516.00,525.00,514.00,525.00,+10.00,"33,173"
109/12/31,"31,173,332","16,437,646,054",526.00,530.00,524.00,530.00,+5.00,"25,138"
110/01/04,"39,489,959","21,127,581,248",530.00,540.00,528.00,536.00,+6.00,"33,316"
110/01/05,"34,839,391","18,761,831,567",536.00,542.00,535.00,542.00,+6.00,"28,512"
110/01/06,"55,614,434","30,572,783,229",555.00,555.00,541.00,549.00,+7.00,"55,462"
110/01/07,"53,392,763","30,018,630,685",554.00,570.00,553.00,565.00,+16.00,"47,905"
110/01/08,"62,957,148","36,339,702,855",580.00,580.00,571.00,580.00,+15.00,"56,426"
110/01/11,"52,771,778","30,535,694,908",577.00,584.00,574.00,584.00,+4.00,"49,539"
110/01/12,"52,605,212","30,958,142,918",583.00,597.00,582.00,591.00,+7.00,"59,595"
110/01/13,"75,707,681","45,419,255,149",595.00,605.00,593.00,605.00,+14.00,"59,966"
110/01/14,"90,309,708","53,477,747,672",587.00,597.00,587.00,592.00,-13.00,"111,849"
110/01/15,"100,998,199","61,876,473,170",621.00,625.00,601.00,601.00,+9.00,"105,961"
110/01/18,"50,388,664","30,406,611,574",608.00,608.00,594.00,607.00,+6.00,"49,008"
110/01/19,"52,947,466","32,934,404,720",618.00,632.00,613.00,627.00,+20.00,"55,490"
110/01/20,"95,484,470","61,279,319,857",633.00,650.00,631.00,647.00,+20.00,"95,577"
110/01/21,"97,590,371","64,624,578,866",640.00,679.00,640.00,673.00,+26.00,"115,004"
110/01/22,"134,238,314","88,023,707,664",649.00,665.00,649.00,649.00,-24.00,"235,186"
110/01/25,"98,608,285","62,583,576,696",642.00,646.00,626.00,633.00,-16.00,"154,134"
110/01/26,"114,797,609","71,638,808,826",632.00,640.00,610.00,617.00,-16.00,"177,764"
110/01/27,"72,823,691","44,931,754,892",618.00,625.00,611.00,615.00,-2.00,"77,274"
110/01/28,"104,181,514","62,647,021,616",600.00,608.00,598.00,601.00,-14.00,"157,835"
110/01/29,"96,875,889","58,399,782,288",619.00,619.00,591.00,591.00,-10.00,"129,394"
110/02/01,"70,161,939","42,004,241,697",595.00,612.00,587.00,611.00,+20.00,"81,346"
110/02/02,"80,724,207","50,938,461,582",629.00,638.00,622.00,632.00,+21.00,"82,687"
110/02/03,"59,763,227","37,926,170,035",638.00,642.00,630.00,630.00,-2.00,"56,515"
110/02/04,"47,547,873","29,765,963,971",626.00,632.00,620.00,627.00,-3.00,"44,668"
110/02/05,"57,350,831","36,435,290,641",638.00,641.00,631.00,632.00,+5.00,"51,140"
110/02/17,"115,578,402","76,728,732,025",663.00,668.00,660.00,663.00,+31.00,"91,925"
110/02/18,"54,520,341","36,024,245,089",664.00,665.00,656.00,660.00,-3.00,"49,914"
110/02/19,"51,651,844","33,676,514,428",656.00,657.00,647.00,652.00,-8.00,"63,171"
110/02/22,"39,512,078","25,885,948,680",660.00,662.00,650.00,650.00,-2.00,"47,116"
110/02/23,"52,868,029","33,779,796,222",641.00,643.00,633.00,641.00,-9.00,"73,349"
110/02/24,"80,010,637","50,333,904,697",627.00,636.00,625.00,625.00,-16.00,"138,264"
110/02/25,"45,279,276","28,634,410,089",636.00,636.00,628.00,635.00,+10.00,"46,506"
110/02/26,"137,933,162","84,194,194,399",611.00,618.00,606.00,606.00,-29.00,"212,428"
110/03/02,"57,792,973","35,565,213,485",621.00,622.00,609.00,609.00,+3.00,"71,325"
110/03/03,"61,171,387","37,550,028,241",609.00,622.00,601.00,622.00,+13.00,"57,677"
110/03/04,"75,508,388","45,662,897,489",609.00,611.00,601.00,601.00,-21.00,"143,916"
110/03/05,"85,579,527","50,968,119,396",588.00,605.00,584.00,601.00, 0.00,"127,693"
110/03/08,"47,676,630","28,737,004,484",608.00,610.00,598.00,598.00,-3.00,"84,570"
110/03/09,"74,471,341","43,957,092,621",585.00,595.00,585.00,595.00,-3.00,"119,867"
110/03/10,"41,735,443","24,904,320,192",601.00,601.00,593.00,597.00,+2.00,"54,196"
110/03/11,"55,462,783","33,584,884,382",596.00,612.00,595.00,609.00,+12.00,"47,948"
110/03/12,"33,876,990","20,780,886,905",615.00,618.00,609.00,614.00,+5.00,"36,145"
110/03/15,"29,767,904","18,194,081,208",614.00,614.00,609.00,611.00,-3.00,"26,753"
110/03/16,"37,780,820","23,074,187,740",610.00,613.00,607.00,613.00,+2.00,"37,573"
110/03/17,"43,942,131","26,638,906,800",612.00,612.00,602.00,604.00,X0.00,"68,585"
110/03/18,"30,223,846","18,286,667,342",606.00,609.00,602.00,602.00,-2.00,"31,677"
110/03/19,"74,960,854","44,407,634,402",594.00,598.00,591.00,591.00,-11.00,"106,938"
110/03/22,"35,931,375","21,250,445,678",588.00,598.00,586.00,593.00,+2.00,"55,005"
110/03/23,"31,933,358","19,057,386,513",597.00,603.00,593.00,594.00,+1.00,"36,423"
110/03/24,"115,318,351","66,559,451,738",571.00,582.00,571.00,576.00,-18.00,"242,138"
110/03/25,"74,225,812","42,594,849,855",572.00,581.00,570.00,575.00,-1.00,"115,951"
110/03/26,"37,937,242","22,271,364,837",582.00,592.00,580.00,590.00,+15.00,"49,718"
110/03/29,"40,573,913","24,302,039,570",599.00,602.00,596.00,599.00,+9.00,"44,500"
110/03/30,"34,686,346","20,661,203,325",600.00,600.00,592.00,597.00,-2.00,"46,755"
110/03/31,"44,454,672","26,217,366,895",596.00,597.00,587.00,587.00,-10.00,"70,527"
